"RBIM,C,3","NAIM,C,25","ZRAC,C,30","VIRM,L","PB,C,2","PART,C,15"
100,Direkcija FOM - a,,TAČNO,,
200,Sektor inzenjeringa,,TAČNO,,
300,Projektovanje i razvoj,,TAČNO,,
400,Teh. priprema proizvodnje,,TAČNO,,
401,Pogon reduktora,,TAČNO,,
402,Pogon termicke obrade,,TAČNO,,
403,Pogon izrade opreme,,TAČNO,,
404,Pogon teske masinske obr.,,TAČNO,,
405,Pogon odrzavanja,,TAČNO,,
406,Radionica pripremnih rado,,TAČNO,,
407,Magacin alata,,TAČNO,,
500,Nabavka i skladiste,,TAČNO,,
600,Sektor TPP,,TAČNO,,
700,Obezbedjenje kvaliteta,,TAČNO,,
800,Sektor kontrole kvaliteta,,TAČNO,,
900,"Ops,pravni i fin. poslovi",,TAČNO,,
910,OTP SRBIJA,325-9500700000001-95,TAČNO,,
920,POSTANSKA STEDIONICA,908-20001-18,NETAČNO,05,47813-8071
930,BANCA INTESA AD.BG.,160-203-49,NETAČNO,05,03-001
940,OTP BANKA,,NETAČNO,,
950,ALPHA BANK A.D.BGD.,908-0000000018001-04,NETAČNO,,
960,RBA BANKA,330-150-27,NETAČNO,,
970,SRPSKA BANKA-A.D.BG.,908-29501-36,NETAČNO,,
980,DIREKTNA BANKA AD KG,908-15001-80,NETAČNO,,
990,AGROBANKA A.D.BGD.,908-24501-98,NETAČNO,,
991,KOMERCIJALNA BANKA,908-20501-70,NETAČNO,,
992,RAIFFEISEN BANKA,,NETAČNO,,
993,DELTA BANKA-BGD.,908-16001-87,NETAČNO,,
994,LHB BANKA-BEOGRAD A.,908-0000000026001-60,NETAČNO,,
996,EUROBANK EFG A.D.,908-25001-53,NETAČNO,,
997,UNICREDIT BANKA,,NETAČNO,,
998,HYPOGROUP-ALPE ADRIA,,NETAČNO,,
902,ERSTE BANK A.D.N.SAD,908-34001-19,NETAČNO,97,2543918003
999,VOLKSBANK a.d.,908-28501-29,NETAČNO,,
903,MARFIN BANK,908-14501-28,NETAČNO,,
987,FINDOMESTIK BANKA,908-24001-46,NETAČNO,,
986,NLB BANKA,310-6100100018027-70,NETAČNO,,
904,TELENOR BANKA,908-11501-07,NETAČNO,,
981,HALKBANK,155-5500180799088-22,NETAČNO,,
988,MTS BANKA,360-0909990000006-25,NETAČNO,,
989,AIK BANKA,105-2-23,NETAČNO,,
985,ADDIKO BANK,908-16501-42,NETAČNO,,
