SIFRA;NAZIV
01;(NKV)    NEKVALIFIKOVANI RADNIK
02;(PKV)    POLUKVALIFIKOVANI RADNIK
03;( KV)    KVALIFIKOVANI RADNIK
04;(VKV)    VISOKOKVALIFIKOVANI RADNIK
05;(NSS)    NIZA STRUCNA SPREMA
06;(SSS)    SREDNJA STRUCNA SPREMA
07;(VS1)    VISA STRUCNA SPREMA
08;(VSS)    VISOKA STRUCNA SPREMA
09;( MR)    MAGISTAR NAUKA
10;( DR)    DOKTOR NAUKA
11;(KV/T1)  KVALIFIKOVANI RADNIK
12;(SSS/T1) SREDNJA STRUCNA SPREMA
13;(SSS/T2) SREDNJA STRUCNA SPREMA
14;(VKV/T1) VISOKOKVALIFIKOVANI RADNIK
16;(VS1/T2) VISA STRUCNA SPREMA
17;(VSS/T3) VISOKA STRUCNA SPREMA
18;(VSS/T4) VISOKA STRUCNA SPREMA
19;(VSS/T5) VISOKA STRUCNA SPREMA
20;I        STEPEN STRUCNE SPREME
21;II       STEPEN STRUCNE SPREME
22;III      STEPEN STRUCNE SPREME
23;IV       STEPEN STRUCNE SPREME
24;V        STEPEN STRUCNE SPREME
25;VI/1     STEPEN STRUCNE SPREME
26;VI/2     STEPEN STRUCNE SPREME
27;VII/1    STEPEN STRUCNE SPREME
28;VII/2    STEPEN STRUCNE SPREME
29;VIII     STEPEN STRUCNE SPREME
