RBIM,NAIM,ZRAC,PB,PART
100,Direkcija FOM - a,,,
200,Sektor inzenjeringa,,,
300,Projektovanje i razvoj,,,
400,Teh. priprema proizvodnje,,,
401,Pogon reduktora,,,
402,Pogon termicke obrade,,,
403,Pogon izrade opreme,,,
404,Pogon teske masinske obr.,,,
405,Pogon odrzavanja,,,
406,Radionica pripremnih rado,,,
407,Magacin alata,,,
500,Nabavka i skladiste,,,
600,Sektor TPP,,,
700,Obezbedjenje kvaliteta,,,
800,Sektor kontrole kvaliteta,,,
900,Opsti pravni i finansijski poslovi,,,
910,OTP SRBIJA,325-9500700000001-95,,
920,POSTANSKA STEDIONICA,908-20001-18,05,47813-8071
930,BANCA INTESA AD.BG.,160-203-49,05,03-001
940,OTP BANKA,,,
950,ALPHA BANK A.D.BGD.,908-0000000018001-04,,
960,RBA BANKA,330-150-27,,
970,SRPSKA BANKA-A.D.BG.,908-29501-36,,
980,DIREKTNA BANKA AD KG,908-15001-80,,
990,AGROBANKA A.D.BGD.,908-24501-98,,
991,KOMERCIJALNA BANKA,908-20501-70,,
992,RAIFFEISEN BANKA,,,
993,DELTA BANKA-BGD.,908-16001-87,,
994,LHB BANKA-BEOGRAD A.,908-0000000026001-60,,
996,EUROBANK EFG A.D.,908-25001-53,,
997,UNICREDIT BANKA,,,
998,HYPOGROUP-ALPE ADRIA,,,
902,ERSTE BANK A.D.N.SAD,908-34001-19,97,2543918003
999,VOLKSBANK a.d.,908-28501-29,,
903,MARFIN BANK,908-14501-28,,
987,FINDOMESTIK BANKA,908-24001-46,,
986,NLB BANKA,310-6100100018027-70,,
904,TELENOR BANKA,908-11501-07,,
981,HALKBANK,155-5500180799088-22,,
988,MTS BANKA,360-0909990000006-25,,
989,AIK BANKA,105-2-23,,
985,ADDIKO BANK,908-16501-42,,
