SIFRA,NAZIV_PUN,NAZIV
01,NKV,NKV NEKVALIFIKOVANI RADNIK
02,PKV,PKV POLUKVALIFIKOVANI RADNIK
03,KV,KV KVALIFIKOVANI RADNIK
04,VKV,VKV VISOKOKVALIFIKOVANI RADNIK
05,NSS,NSS NIZA STRUCNA SPREMA
06,SSS,SSS SREDNJA STRUCNA SPREMA
07,VŠS,VŠS VISA STRUCNA SPREMA
08,VSS,VSS VISOKA STRUCNA SPREMA
09,MR,MR MAGISTAR NAUKA
10,DR,DR DOKTOR NAUKA
11,KV/T1,KV/T1  KVALIFIKOVANI RADNIK
12,SSS/T1,SSS/T1 SREDNJA STRUCNA SPREMA
13,SSS/T2,SSS/T2 SREDNJA STRUCNA SPREMA
14,VKV/T1,VKV/T1 VISOKOKVALIFIKOVANI RADNIK
16,VS1/T2,VS1/T2 VISA STRUCNA SPREMA
17,VSS/T3,VSS/T3 VISOKA STRUCNA SPREMA
18,VSS/T4,VSS/T4 VISOKA STRUCNA SPREMA
19,VSS/T5,VSS/T5 VISOKA STRUCNA SPREMA
